Huc 8,Huc 8 Name,Huc 12,Huc 12 Name,Type,Category,Scientific Name,Common Name,Global Rank,State Rank,Fed Status,State Status,Habitat Description,Wet Habitat Flag
6010204,Little Tennessee River,60102040406,Tellico Lake-Little Toqua Creek,Invertebrate Animal,Insect,Ophiogomphus alleghaniensis,Allegheny Snaketail,G3T2T3,S1,--,"Rare, Not State Listed","Riffle areas of spring-fed streams; Cumberland Plateau, Ridge & Valley, & Blue Ridge; not watershed specific.",Aquatic
3150101,Conasauga River,31501010102,Jacks River,Vascular Plant,Flowering Plant,Trillium decumbens,Trailing Trillium,G4,S1,--,E,"Floodplains And Rocky, Open, Mountain Woods",Possible
3150101,Conasauga River,31501010103,Ball Play Creek-Conasauga River,Vascular Plant,Flowering Plant,Trillium decumbens,Trailing Trillium,G4,S1,--,E,"Floodplains And Rocky, Open, Mountain Woods",Possible
3150101,Conasauga River,31501010103,Ball Play Creek-Conasauga River,Vascular Plant,Flowering Plant,Nestronia umbellula,Nestronia,G4,S1,--,E,Upland Woods,Upland
5110002,Barren River,51100020201,Upper Long Creek,Vertebrate Animal,Fish,Etheostoma kantuckeense,Highland Rim Darter,G4,S1,--,"Rare, Not State Listed",Upper Barren River system of the Highland Rim.,Aquatic
5130101,Clear Fork of the Cumberland River,51301010201,Little Yellow Creek-Yellow Creek,Vascular Plant,Flowering Plant,Calamagrostis porteri,Porter's Reedgrass,G4,S1,--,E,Rich Mountain Woods,Upland
5130101,Clear Fork of the Cumberland River,51301010503,Hickory Creek Lower,Vascular Plant,Flowering Plant,Eurybia schreberi,Schreber's Aster,G4,S1,--,S,Mesic Woods & Seepage Slopes,Upland
5130101,Clear Fork of the Cumberland River,51301010503,Hickory Creek Lower,Vertebrate Animal,Amphibian,Plethodon wehrlei,Wehrle's Salamander,G4,S1,--,D,Sheltered areas in mesic hardwood forests; Cumberland Mountains; Campbell County.,Upland
5130101,Clear Fork of the Cumberland River,51301010603,Laurel Fork,Nonvascular Plant,Non-Vascular Plant,Jungermannia fossombronioides,A Liverwort,G4,S1,--,S,Low Elevation Rocky Streams,Possible
5130101,Clear Fork of the Cumberland River,51301010605,Elk Creek,Invertebrate Animal,Crustacean,Cambarus deweesae,Valley Flame Crayfish,G4,S1,--,E,Primary burrower; open areas with high water tables; northern Ridge & Valley.,Aquatic
5130104,South Fork Cumberland River,51301040102,Black Wolf Creek,Vascular Plant,Flowering Plant,Rhynchospora harveyi,Harvey's Beakrush,G4,S1,--,T,Barrens And Other Open Areas,Possible
5130104,South Fork Cumberland River,51301040103,White Oak Creek,Vascular Plant,Flowering Plant,Helenium brevifolium,Shortleaf Sneezeweed,G4,S1,--,E,"Rocky, Sandy Streamsides",Possible
5130104,South Fork Cumberland River,51301040103,White Oak Creek,Vascular Plant,Flowering Plant,Rhynchospora harveyi,Harvey's Beakrush,G4,S1,--,T,Barrens And Other Open Areas,Possible
5130104,South Fork Cumberland River,51301040203,Crooked Creek,Vascular Plant,Flowering Plant,Eleocharis equisetoides,Horse-tail Spike-rush,G4,S1,--,E,Pond Edges And Open Wetlands,Possible
5130104,South Fork Cumberland River,51301040204,Clear Fork Middle,Vascular Plant,Flowering Plant,Helenium brevifolium,Shortleaf Sneezeweed,G4,S1,--,E,"Rocky, Sandy Streamsides",Possible
5130104,South Fork Cumberland River,51301040205,Clear Fork Lower,Vascular Plant,Flowering Plant,Helenium brevifolium,Shortleaf Sneezeweed,G4,S1,--,E,"Rocky, Sandy Streamsides",Possible
5130104,South Fork Cumberland River,51301040205,Clear Fork Lower,Vascular Plant,Flowering Plant,Rhynchospora harveyi,Harvey's Beakrush,G4,S1,--,T,Barrens And Other Open Areas,Possible
5130105,Obey River,51301050106,Buffalo Cove Creek,Vascular Plant,Flowering Plant,Eleocharis equisetoides,Horse-tail Spike-rush,G4,S1,--,E,Pond Edges And Open Wetlands,Possible
5130105,Obey River,51301050403,Lick Creek-Wolf River,Vascular Plant,Flowering Plant,Eurybia schreberi,Schreber's Aster,G4,S1,--,S,Mesic Woods & Seepage Slopes,Upland
5130106,Cordell Hull,51301060101,Mill Creek,Vascular Plant,Flowering Plant,Carex ouachitana,Ouachita Sedge,G4,S1,--,S,Rocky Woods,Upland
5130106,Cordell Hull,51301060104,Cumberland River-Dry Creek,Vascular Plant,Flowering Plant,Carex ouachitana,Ouachita Sedge,G4,S1,--,S,Rocky Woods,Upland
5130107,Collins River,51301070102,West Fork Hickory Creek,Vascular Plant,Flowering Plant,Lachnanthes caroliana,Carolina Redroot,G4,S1,--,E,Acidic Wetlands And Barrens,Possible
5130107,Collins River,51301070102,West Fork Hickory Creek,Invertebrate Animal,Mollusc,Daedalochila auriformis,Rockpile Liptooth,G4,S1,--,"Rare, Not State Listed","Wet, grassy habitats, generally in full sun; barrens & remnant prairies; Coffee & Warren counties; disjunct from central Alabama.",Possible
5130107,Collins River,51301070102,West Fork Hickory Creek,Vascular Plant,Flowering Plant,Rhynchospora harveyi,Harvey's Beakrush,G4,S1,--,T,Barrens And Other Open Areas,Possible
5130107,Collins River,51301070203,Barren Fork River,Vascular Plant,Flowering Plant,Rhynchospora harveyi,Harvey's Beakrush,G4,S1,--,T,Barrens And Other Open Areas,Possible
5130107,Collins River,51301070303,Collins River Upper,Vascular Plant,Flowering Plant,Nestronia umbellula,Nestronia,G4,S1,--,E,Upland Woods,Upland
5130108,Caney Fork River,51301080101,Glade Creek,Vascular Plant,Flowering Plant,Ribes curvatum,Granite Gooseberry,G4,S1,--,T,Rocky Woods,Upland
5130108,Caney Fork River,51301080102,Bee Creek Upper,Vascular Plant,Flowering Plant,Ribes curvatum,Granite Gooseberry,G4,S1,--,T,Rocky Woods,Upland
5130108,Caney Fork River,51301080103,Bee Creek Lower,Vascular Plant,Flowering Plant,Ribes curvatum,Granite Gooseberry,G4,S1,--,T,Rocky Woods,Upland
5130108,Caney Fork River,51301080202,Cane Creek Upper,Vascular Plant,Flowering Plant,Eleocharis equisetoides,Horse-tail Spike-rush,G4,S1,--,E,Pond Edges And Open Wetlands,Possible
5130108,Caney Fork River,51301080205,Cane Creek Lower,Vascular Plant,Flowering Plant,Nestronia umbellula,Nestronia,G4,S1,--,E,Upland Woods,Upland
5130108,Caney Fork River,51301080301,Laurel Creek,Vascular Plant,Flowering Plant,Helenium brevifolium,Shortleaf Sneezeweed,G4,S1,--,E,"Rocky, Sandy Streamsides",Possible
5130108,Caney Fork River,51301080302,Caney Fork River Headwaters,Vascular Plant,Flowering Plant,Eupatorium godfreyanum,Godfrey's Thoroughwort,G4,S1,--,S,Dry Woods,Upland
5130108,Caney Fork River,51301080303,Caney Fork River-Clifty Creek,Vascular Plant,Flowering Plant,Ribes curvatum,Granite Gooseberry,G4,S1,--,T,Rocky Woods,Upland
5130108,Caney Fork River,51301080304,Lost Cove,Vascular Plant,Flowering Plant,Gratiola brevifolia,Sticky Hedge-hyssop,G4,S1,--,S,Wet Barrens And Marshes,Possible
5130108,Caney Fork River,51301080402,Calfkiller River Upper,Vascular Plant,Flowering Plant,Eleocharis equisetoides,Horse-tail Spike-rush,G4,S1,--,E,Pond Edges And Open Wetlands,Possible
5130108,Caney Fork River,51301080605,Center Hill Lake,Vascular Plant,Flowering Plant,Phyllanthopsis phyllanthoides,Maidenbush,G4,S1,--,T,Limestone Outcrops,-
